,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Beta7[5],0.539,0.357,-0.124,1.209,0.003,0.002,19330,19282,19314,19557,
Beta7[6],-0.578,0.324,-1.216,0.001,0.002,0.002,19698,19646,19695,20043,
Beta7[7],-0.024,0.303,-0.586,0.551,0.002,0.002,19586,19586,19559,19632,
Beta7[8],-0.298,0.24,-0.757,0.15,0.002,0.001,20037,20037,20043,19878,
Beta7[9],-0.042,0.245,-0.5,0.421,0.002,0.001,19585,19585,19588,20213,
Beta7[10],0.294,0.271,-0.238,0.781,0.002,0.001,20382,20020,20378,19799,
Beta7[11],0.781,0.371,0.111,1.509,0.003,0.002,19395,19395,19374,19484,
Beta7[12],0.035,0.304,-0.531,0.606,0.002,0.002,20189,19908,20186,19919,
Beta7[13],-0.016,0.294,-0.587,0.523,0.002,0.002,19648,19130,19654,19495,
Beta7[14],0.172,0.31,-0.404,0.762,0.002,0.002,20039,20039,20039,19507,
Beta7[15],0.17,0.365,-0.514,0.846,0.003,0.002,19579,19579,19587,19674,
Beta7[16],0.687,0.342,0.049,1.325,0.002,0.002,20050,20050,20050,18954,
Beta7[17],0.249,0.346,-0.396,0.902,0.003,0.002,17967,17967,17975,18786,
Beta7[18],0.407,0.4,-0.33,1.155,0.003,0.002,19818,19818,19809,19472,
Beta7[19],0.296,0.371,-0.405,0.986,0.003,0.002,19143,18951,19143,19086,
Beta7[20],1.158,0.536,0.172,2.198,0.004,0.003,19687,19687,19687,18760,
Beta7[21],0.261,0.447,-0.559,1.107,0.003,0.002,20224,20186,20220,19312,
Beta7[22],1.016,0.419,0.244,1.815,0.003,0.002,19093,18887,19104,19012,
Beta7[23],-0.089,0.313,-0.684,0.491,0.002,0.002,20337,19310,20336,18699,
Beta7[24],0.561,0.355,-0.098,1.246,0.003,0.002,19938,19815,19941,19510,
Beta7[25],-0.498,0.409,-1.283,0.261,0.003,0.002,19783,19783,19784,19152,
Beta7[26],0.593,0.395,-0.127,1.366,0.003,0.002,20723,20557,20722,19763,
Beta7[27],0.377,0.375,-0.346,1.052,0.003,0.002,20214,19450,20211,19991,
Beta7[28],-0.06,0.395,-0.793,0.691,0.003,0.002,19630,19116,19633,19711,
